"","species","scientific_name"
"1","Mediterranean mussel","Mytilus galloprovincialis"
"2","Blue mussel","Mytilus edulis"
"3","Cholga mussel","Aulacomya ater"
"4","Pacific cupped oyster","Crassostrea gigas"
"5","River Plata mussel","Mytilus platensis"
"6","Australian mussel","Mytilus planulatus"
"7","Flat and cupped oysters nei","Ostreidae"
"8","Cupped oysters nei","Crassostrea spp"
"9","Pacific lion's paw","Lyropecten subnodosus"
"10","South American rock mussel","Perna perna"
"11","Green mussel","Perna viridis"
"12","Blood cockle","Anadara granosa"
"13","American cupped oyster","Crassostrea virginica"
"14","Butter clam","Saxidomus giganteus"
"15","Japanese carpet shell","Ruditapes philippinarum"
"16","Marine molluscs nei","Mollusca"
"17","Scallops nei","Pectinidae"
"18","European flat oyster","Ostrea edulis"
"19","Great Atlantic scallop","Pecten maximus"
"20","Chilean flat oyster","Ostrea chilensis"
"21","Chilean mussel","Mytilus chilensis"
"22","Choro mussel","Choromytilus chorus"
"23","Peruvian calico scallop","Argopecten purpuratus"
"24","Constricted tagelus","Sinonovacula constricta"
"25","Pen shells nei","Atrina spp"
"26","Sea mussels nei","Mytilidae"
"27","Giant clams nei","Tridacna spp"
"28","Pacific asaphis","Asaphis violascens"
"29","Great Mediterranean scallop","Pecten jacobaeus"
"30","Mangrove cupped oyster","Crassostrea rhizophorae"
"31","Black ark","Anadara tuberculosa"
"32","Grand ark","Anadara grandis"
"33","Clams, etc. nei","Bivalvia"
"34","Common edible cockle","Cerastoderma edule"
"35","Indian backwater oyster","Crassostrea madrasensis"
"36","Yesso scallop","Patinopecten yessoensis"
"37","Globose clam","Mactra veneriformis"
"38","Half-crenated ark","Scapharca subcrenata"
"39","Inflated ark","Scapharca broughtonii"
"40","Japanese hard clam","Meretrix lusoria"
"41","Korean mussel","Mytilus coruscus"
"42","Oriental cyclina","Cyclina sinensis"
"43","Hooded oyster","Saccostrea cuccullata"
"44","New Zealand mussel","Perna canaliculus"
"45","Bear paw clam","Hippopus hippopus"
"46","Crocus giant clam","Tridacna crocea"
"47","Elongate giant clam","Tridacna maxima"
"48","Fluted giant clam","Tridacna squamosa"
"49","Smooth giant clam","Tridacna derasa"
"50","Slipper cupped oyster","Crassostrea iredalei"
"51","Golden carpet shell","Venerupis aurea"
"52","Grooved carpet shell","Ruditapes decussatus"
"53","Solen razor clams nei","Solen spp"
"54","Pullet carpet shell","Venerupis pullastra"
"55","Gasar cupped oyster","Crassostrea gasar"
"56","Olive green cockle","Cerastoderma glaucum"
"57","Queen scallop","Aequipecten opercularis"
"58","Variegated scallop","Chlamys varia"
"59","Warty venus","Venus verrucosa"
"60","Diphos sanguin","Soletellina diphos"
"61","Northern quahog(=Hard clam)","Mercenaria mercenaria"
"62","Cockles nei","Cardiidae"
"63","Pacific geoduck","Panopea generosa"
"64","Pacific horse clam","Tresus nuttallii"
"65","Pacific littleneck clam","Protothaca staminea"
"66","Sand gaper","Mya arenaria"
